id,tweet_id,text,actual_intent,predicted_intent,intent_confidence,actual_escalate,predicted_escalate,escalation_reason,actual_escalation_reason,retrieval_score,draft_reply
38,2962871,@AppleSupport I.T did not fix the issue,other,other,0.8550219893034967,yes,no,,troubleshooting_already_attempted,0.8875355175343629,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
158,823606,"@AppleSupport I did not🙃 Yes, it seems to be working now",other,other,0.7618923271557905,no,no,,,0.9390997651240202,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
194,1009320,@AppleSupport @358826 I have the same problem Apple!!! Do something! Too many bugs and battery drain. Want my iPhone back,battery_charging,battery_charging,0.9461083965330376,no,no,,,0.2230827174849585,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
2,2068812,@AppleSupport. Since iOS 11. Phone getting freeze so constant and battery is like never charged ??What’s going on iPhone is money rip off,ios_update,battery_charging,0.794442096395885,no,yes,repeated_update_related_failure,,0.9764455667531562,Thanks for reaching out. We recommend contacting Apple Support directly because the issue may require additional support. They can take a closer look and provide the appropriate next steps.
53,759835,"@AppleSupport overall I never know what happens. Currently nothing, other times the wrong thing.",other,other,0.7103895656095857,no,no,,,0.9625743087465625,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
150,2505022,"@AppleSupport Battery, screen repaints, sluggish everywhere, incorrect Information on lock screen - mostly Spotify / Stitcher info...",device_performance,screen_display,0.9996211826244992,yes,no,,multiple_device_issues,0.9580223068228486,"Thanks for reaching out. Could you describe what is happening with the screen or touch response? Please also let us know your iPhone model and iOS version, and whether the issue happens consistently."
131,1060544,@AppleSupport Yes. It’s up to date. I’ve had the phone 3 days.,other,other,0.7360588198641116,no,no,,,0.9554461851646379,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
152,1716578,@AppleSupport why does this keep happening to my Beats studio wireless? I’ve already had them replaced once for the same issue. https://t.co/4muj15ZLcx,connectivity,other,0.7222892601063418,yes,no,,repeated_hardware_failure,0.9450763251564356,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
104,2048387,I did the software update and now my phone battery sucks @AppleSupport,battery_charging,battery_charging,0.9671993971762629,no,no,,,0.9434000633665919,"Thanks for reaching out. Since the battery drain started after the iOS update, please check your Battery settings to see which apps or activity are using the most power. If the issue continues, let us know your iPhone model and iOS version so we can narrow down the issue."
100,1278172,@AppleSupport it takes the screenshot but there is no flash or sound and the screenshot editing thingy doesnt appear in the corner,apps,other,0.5519705616994252,no,no,,,0.31982068632178984,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
117,567693,@AppleSupport is it possible for someone to hack your iPhone? Connect via hotspot without ever giving a pw?,apple_id_icloud,connectivity,0.6308378775754213,yes,yes,security_or_account_issue,security_concern,0.20143798919768727,Thanks for reaching out. We recommend contacting Apple Support directly because this involves account security. They can take a closer look and provide the appropriate next steps.
88,103162,"@AppleSupport, did #HighSierra kill my old trackpad? After the recent update, no more trackpad. Bounces between connected and mostly not.",connectivity,ios_update,0.5509222404240944,no,no,,,0.1985630898081493,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
75,667047,@AppleSupport I️ haven’t upgraded my software as I️ hear this is the wrong thing to do and I’ll have to get a new phone. I’m happy with my iPhone 6. No software update and I still can’t write the letter I️ thanks you guys suck. Who needs an I️ anyway?,other,ios_update,0.7790638400353745,no,no,,,0.9895442848416409,"Thanks for reaching out. Please let us know what happens when you try to install or use the iOS update, including any error message you see and your iPhone model. That will help us determine the appropriate next troubleshooting step."
122,2487237,"@AppleSupport and fixing the individual songs by hand. Dreadful solution, but it works. IF you can FIND the songs. Which I can’t, because I can’t see how",itunes_music,other,0.5510917438526931,no,no,,,0.2026325231188627,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
200,1283993,@115858 TouchID worked 100% fine last week after upgrading. This week it has not worked once. What is going on? @AppleSupport,apple_id_icloud,other,0.5863476383462779,no,no,,,0.9765266623576442,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
21,1778969,@AppleSupport sos my iPhone 6s screen just went black and will not turn on. i don't have a home button so can't reset. HELP,screen_display,screen_display,0.8882243567138581,yes,yes,severe_device_failure,device_screen_failure,0.34063303806043843,Thanks for reaching out. We recommend contacting Apple Support directly because the device appears to have a severe failure. They can take a closer look and provide the appropriate next steps.
189,1919663,@AppleSupport why is my Apple Music saying expired? It’s clearly not...I try to play a song and the 2nd picture comes up...,itunes_music,itunes_music,0.9980341704502624,no,no,,,0.9773937692087319,Thanks for reaching out. Could you tell us what happens when you try to play or access your music? Please include any error message and let us know which device and iOS version you're using.
72,2016039,@AppleSupport y’all need to fix this “I️” asap 🤦🏾‍♂️,other,other,0.8352173829808357,no,no,,,0.7863614803095182,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
107,2307286,@AppleSupport All of my ringtones were purchased through iTunes.,itunes_music,itunes_music,0.8586383920787564,no,yes,purchase_or_compensation_issue,,0.31380704691043027,Thanks for reaching out. We recommend contacting Apple Support directly because the issue may require additional support. They can take a closer look and provide the appropriate next steps.
15,94856,"@AppleSupport I am using 11.1.2. The controls/info are there, but cannot be seen (podcast controls/number pad for code entry respond when touched--assuming where the buttons are)",screen_display,other,0.3616437977014172,no,no,,,0.9857134196604506,"Thanks for reaching out. We'd like to understand the issue better. Could you describe what is happening, including any error message or troubleshooting steps you have already tried?"
93,359574,@AppleSupport the #Android version of d @115948 app is a clunky crapfest. Doesn't even play songs all the way through. Many bugs.FIX IT!,apps,apps,0.922113023255311,no,no,,,0.9401338652849968,"Thanks for reaching out. Which app is affected, and what happens when you try to use it? Please include any error message and, if possible, your iPhone model and iOS version."
180,1244453,I tried to install iCloud for Windows on my laptop and it corrupted Windows. @115858 @AppleSupport,apple_id_icloud,apple_id_icloud,0.9192698553884137,yes,no,,severe_software_issue,0.9680500789183653,"Thanks for reaching out. Please tell us what happens when you try to sign in to your Apple ID or iCloud, including any error message you see. Avoid sharing your password or other sensitive account information."
103,875955,@AppleSupport @115948 XML file of the playlist to save to my hard disk and was able to input that back into my @115948 / iTunes client and all the songs,itunes_music,itunes_music,0.965947562793876,no,no,,,0.23785951236610564,Thanks for reaching out. Could you tell us what happens when you try to play or access your music? Please include any error message and let us know which device and iOS version you're using.
